
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-04-15;25.494,33;3278016699418;26.433,58;3522498844756;26.771,79;3375833946042;26.534,13;34386862696;25.364,58;280083581848;26.566,61;3402893012358
2012-04-16;25.426,98;3258618671831;26.368,29;3514845951902;26.699,20;3368568109160;26.437,05;36467778929;25.300,93;275825358831;26.495,78;3390142888473
2012-04-17;25.427,89;3261195198950;26.368,89;3516392774114;26.717,88;3371895521058;26.427,99;36767428166;25.300,87;280627058722;26.495,07;3391808195022
2012-04-18;25.507,75;3270545241062;26.447,97;3525171743839;26.806,18;3382312100948;26.513,38;36812713481;25.371,66;281595956582;26.575,30;3401264071579
2012-04-19;25.489,16;3267499981762;26.436,90;3520532159606;26.786,90;3378435667034;26.497,79;36269046128;25.375,78;281708335765;26.561,76;3398641343069
2012-04-20;25.534,03;3270465120994;26.476,71;3519981944206;26.827,90;3376215259101;26.559,13;36286595712;25.424,64;282093297248;26.606,87;3400377860765
2012-04-21;25.534,03;3270465120994;26.476,71;3519981944206;26.827,90;3376215259101;26.559,13;36286595712;25.424,64;282093297248;26.606,87;3400377860765
2012-04-22;25.534,03;3270465120994;26.476,71;3519981944206;26.827,90;3376215259101;26.559,13;36286595712;25.424,64;282093297248;26.606,87;3400377860765
2012-04-23;25.568,65;3273962423908;26.502,75;3522169261763;26.866,98;3379343984169;26.597,35;36371593474;25.443,01;282059635958;26.641,27;3402936066492
2012-04-24;25.396,61;3250882470327;26.339,53;3497426689307;26.705,28;3356852999564;26.406,49;36091181924;25.288,97;280343210722;26.482,96;3380681061216
2012-04-25;25.405,37;3250366141829;26.345,69;3496706745449;26.705,21;3354360673685;26.433,69;36127820142;25.297,50;280451658279;26.482,45;3379354358915
2012-04-26;25.483,65;3259848052729;26.427,34;3507515233524;26.784,45;3364310243278;26.504,15;36237616577;25.373,97;281232687071;26.558,68;3388656158773
2012-04-27;25.470,70;3256044685690;26.427,20;3502004171048;26.784,90;3358373110764;26.507,89;36211741901;25.358,38;281061794707;26.540,23;3382624034528
2012-04-28;25.470,70;3256044685690;26.427,20;3502004171048;26.784,90;3358373110764;26.507,89;36211741901;25.358,38;281061794707;26.540,23;3382624034528
2012-04-29;25.470,70;3256044685690;26.427,20;3502004171048;26.784,90;3358373110764;26.507,89;36211741901;25.358,38;281061794707;26.540,23;3382624034528
2012-04-30;25.545,14;3259337461351;26.498,62;3503407465989;26.859,24;3358239533904;26.571,15;36347544182;25.423,74;281261372772;26.617,87;3384215969062
2012-05-01;25.545,14;3259337461351;26.498,62;3503407465989;26.859,24;3358239533904;26.571,15;36347544182;25.423,74;281261372772;26.617,87;3384215969062
2012-05-02;25.624,11;3266962911230;26.582,58;3517836722677;26.938,81;3367859940063;26.668,35;37741667703;25.516,24;278506239178;26.699,61;3385134393610
2012-05-03;25.610,62;3263994283295;26.584,93;3515734271430;26.937,60;3365664292543;26.649,97;37734076152;25.505,81;282243342773;26.691,55;3382769012955
2012-05-04;25.427,26;3240238735182;26.388,58;3489191458358;26.741,91;3339958237103;26.454,37;37488360914;25.324,45;280117303818;26.488,78;3356646847190
2012-05-05;25.427,26;3240238735182;26.388,58;3489191458358;26.741,91;3339958237103;26.454,37;37488360914;25.324,45;280117303818;26.488,78;3356646847190
2012-05-06;25.427,26;3240238735182;26.388,58;3489191458358;26.741,91;3339958237103;26.454,37;37488360914;25.324,45;280117303818;26.488,78;3356646847190
2012-05-07;25.215,15;3212784663897;26.168,52;3459736165425;26.526,09;3310842771801;26.234,56;37123258691;25.126,08;277839839933;26.271,32;3328982646435
2012-05-08;25.181,37;3213395309068;26.143,03;3454924219333;26.503,17;3307442111801;26.218,23;37078554193;25.102,47;277464795253;26.254,25;3325644055638
2012-05-09;25.091,34;3202339557023;26.056,04;3442734006088;26.416,22;3295439930435;26.122,16;36971159321;25.021,96;276560079982;26.161,17;3313225024478
2012-05-10;24.956,11;3185212147821;25.917,19;3423020761801;26.267,38;3275088320498;25.989,18;36854691626;24.890,73;275148114591;26.024,18;3295616860960
2012-05-11;24.894,46;3177989564155;25.849,31;3412900137108;26.193,25;3265276769040;25.942,78;36904648769;24.825,86;274570477977;25.948,48;3285920515419
2012-05-12;24.894,46;3177989564155;25.849,31;3412900137108;26.193,25;3265276769040;25.942,78;36904648769;24.825,86;274570477977;25.948,48;3285920515419
2012-05-13;24.894,46;3177989564155;25.849,31;3412900137108;26.193,25;3265276769040;25.942,78;36904648769;24.825,86;274570477977;25.948,48;3285920515419
2012-05-14;24.848,11;3172801938864;25.802,39;3405514309321;26.148,43;3259871910129;25.885,17;36924672986;24.781,16;274426324159;25.896,96;3286862124064
2012-05-15;24.579,39;3134611603570;25.537,40;3379981448880;25.870,17;3228491201746;25.604,71;39356349462;24.530,53;268062704989;25.626,14;3242967659867
2012-05-16;24.554,70;3134867703398;25.503,82;3375569345704;25.834,91;3225546046276;25.549,59;39464378065;24.500,74;271352997432;25.595,67;3239145629027
2012-05-17;24.417,31;3115486745893;25.388,20;3357437351735;25.710,97;3206184881912;25.416,52;39146209283;24.362,28;269718672069;25.458,83;3223071326645
2012-05-18;24.254,38;3092911006714;25.234,39;3330724905438;25.558,98;3179915527319;25.256,86;39024634272;24.217,00;267923168676;25.307,67;3201318431533
2012-05-19;24.254,38;3092911006714;25.234,39;3330724905438;25.558,98;3179915527319;25.256,86;39024634272;24.217,00;267923168676;25.307,67;3201318431533
2012-05-20;24.254,38;3092911006714;25.234,39;3330724905438;25.558,98;3179915527319;25.256,86;39024634272;24.217,00;267923168676;25.307,67;3201318431533
2012-05-21;24.254,38;3092911006714;25.234,39;3330724905438;25.558,98;3179915527319;25.256,86;39024634272;24.217,00;267923168676;25.307,67;3201318431533
2012-05-22;24.199,76;3079539512281;25.149,21;3311383427946;25.482,40;3161555668109;25.210,24;38874830198;24.158,99;267242291487;25.244,23;3190272723798
2012-05-23;24.212,62;3074506831991;25.164,94;3304612296982;25.495,93;3152525460707;25.256,52;38802006518;24.198,56;267380490873;25.250,66;3186955569084
2012-05-24;24.058,60;3042690384644;25.000,97;3262242901430;25.324,70;3110307161660;25.029,21;38019383822;24.013,12;264947856810;25.100,44;3157118135997
2012-05-25;24.103,87;3036052751259;25.057,55;3246522126559;25.377,61;3098594215653;25.111,24;37687548935;24.065,30;265239604196;25.143,49;3156242698573
2012-05-26;24.103,87;3036052751259;25.057,55;3246522126559;25.377,61;3098594215653;25.111,24;37687548935;24.065,30;265239604196;25.143,49;3156242698573
2012-05-27;24.103,87;3036052751259;25.057,55;3246522126559;25.377,61;3098594215653;25.111,24;37687548935;24.065,30;265239604196;25.143,49;3156242698573
2012-05-28;24.189,91;3041464299058;25.146,69;3249843934193;25.458,94;3102513729297;25.152,42;37783247297;24.128,66;265703057069;25.225,39;3161788638402
2012-05-29;24.297,20;3051367724573;25.262,84;3257475153306;25.568,01;3108764022700;25.251,80;37752531031;24.223,32;266557286250;25.335,27;3173065090782
2012-05-30;24.552,00;3078991832505;25.529,47;3283824510001;25.837,03;3134981824899;25.527,88;38185622525;24.483,21;269154567770;25.611,03;3204264327834
2012-05-31;24.437,95;3054390445819;25.392,01;3249589825148;25.700,53;3106604492035;25.360,02;37821698879;24.355,91;267106975382;25.479,22;3179126190094
2012-06-01;24.468,19;3053639159220;25.421,27;3246252722232;25.732,47;3106848227812;25.408,12;39377965080;24.386,10;263028767830;25.512,91;3160910946098
2012-06-02;24.468,19;3053639159220;25.421,27;3246252722232;25.732,47;3106848227812;25.408,12;39377965080;24.386,10;263028767830;25.512,91;3160910946098
2012-06-03;24.468,19;3053639159220;25.421,27;3246252722232;25.732,47;3106848227812;25.408,12;39377965080;24.386,10;263028767830;25.512,91;3160910946098
2012-06-04;24.209,56;3017309467040;25.155,68;3207340090807;25.458,92;3066991201590;25.126,52;38929501935;24.132,31;263534981369;25.239,36;3124015652154
2012-06-05;23.959,15;2980880917612;24.902,78;3167730415959;25.206,60;3029580055579;24.886,13;38518438124;23.895,34;260857942927;24.976,34;3087953956581
2012-06-06;23.944,83;2972841873554;24.889,32;3158811069591;25.171,64;3019347943324;24.895,12;38536370864;23.887,28;260676828441;24.960,49;3082591992768
2012-06-07;24.177,86;2995141523478;25.136,07;3179640698246;25.429,26;3042021370431;25.199,79;38865725267;24.130,83;263168360406;25.219,28;3110360741976
2012-06-08;24.142,47;2986582100213;25.102,90;3169677218608;25.394,28;3031806556708;25.190,76;38740219430;24.096,18;262641606930;25.182,44;3101291330434
2012-06-09;24.142,47;2986582100213;25.102,90;3169677218608;25.394,28;3031806556708;25.190,76;38740219430;24.096,18;262641606930;25.182,44;3101291330434
2012-06-10;24.142,47;2986582100213;25.102,90;3169677218608;25.394,28;3031806556708;25.190,76;38740219430;24.096,18;262641606930;25.182,44;3101291330434
2012-06-11;24.236,23;2993911510595;25.191,90;3174512288387;25.483,50;3037540263876;25.231,45;38756345430;24.166,29;263254719264;25.278,21;3110522246723
2012-06-12;24.168,41;2976696841846;25.112,67;3148917303796;25.410,80;3015164973915;25.163,80;38521372703;24.118,70;262608566972;25.207,52;3093446811285
2012-06-13;24.265,07;2986511215936;25.219,47;3157924869127;25.513,03;3023542016098;25.300,18;38848659293;24.213,97;263734614661;25.325,78;3106790769492
2012-06-14;24.178,01;2976791322899;25.127,21;3147237518453;25.421,40;3013589475950;25.207,42;38932558079;24.129,96;262815496700;25.224,95;3098945463436
2012-06-15;24.207,71;2967091616745;25.161,52;3151190552638;25.450,98;3019939623059;25.238,89;40523675259;24.160,78;258728031927;25.263,51;3085880884277
2012-06-16;24.207,71;2967091616745;25.161,52;3151190552638;25.450,98;3019939623059;25.238,89;40523675259;24.160,78;258728031927;25.263,51;3085880884277
2012-06-17;24.207,71;2967091616745;25.161,52;3151190552638;25.450,98;3019939623059;25.238,89;40523675259;24.160,78;258728031927;25.263,51;3085880884277
