
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-05-28;26.461,79;1250486355124;27.955,62;1849615429103;25.098,26;1800956683515;28.370,43;38218889821;44.295,08;101874980574;25.689,53;1203192013489
2012-05-29;26.435,30;1259478019233;27.934,03;1863724864496;25.072,80;1814528619092;28.363,48;38436616203;44.259,76;102179128960;25.662,61;1208500576413
2012-05-30;26.451,10;1268883541310;27.951,61;1887246654837;25.082,21;1833709717584;28.372,41;38580975846;44.275,42;102536695737;25.681,25;1216495506865
2012-05-31;26.531,80;1280993997822;28.012,45;1915108828517;25.143,29;1852350432314;28.424,72;38815715914;44.397,13;103259103716;25.762,85;1226587469654
2012-06-01;26.554,73;1289987181900;28.039,35;1931655592112;25.156,74;1885137189166;28.442,43;39759685999;44.423,83;102718311937;25.790,46;1232743308348
2012-06-02;26.554,73;1289987181900;28.039,35;1931655592112;25.156,74;1885137189166;28.442,43;39759685999;44.423,83;102718311937;25.790,46;1232743308348
2012-06-03;26.554,73;1289987181900;28.039,35;1931655592112;25.156,74;1885137189166;28.442,43;39759685999;44.423,83;102718311937;25.790,46;1232743308348
2012-06-04;26.559,32;1297769862658;28.043,11;1946985366425;25.168,23;1900849908432;28.445,76;41401374702;44.438,92;103977175441;25.792,48;1239157278037
2012-06-05;26.485,62;1303094729672;27.971,52;1961307499946;25.112,63;1912566807731;28.404,44;41536114326;44.324,14;104285415517;25.696,96;1239927899261
2012-06-06;26.469,14;1310310935396;27.951,51;1976868830268;25.093,01;1925881668376;28.391,21;41603165899;44.300,50;104160061433;25.688,12;1245653729428
2012-06-07;26.402,82;1318561683509;27.885,20;1992487194875;25.040,22;1941640199776;28.346,13;41872297554;44.197,94;104205896547;25.613,91;1251659106962
2012-06-08;26.397,14;1327491256179;27.880,66;2009421114329;25.032,01;1958111616711;28.350,65;42346294414;44.183,22;104700581142;25.614,52;1259721896434
2012-06-09;26.397,14;1327491256179;27.880,66;2009421114329;25.032,01;1958111616711;28.350,65;42346294414;44.183,22;104700581142;25.614,52;1259721896434
2012-06-10;26.397,14;1327491256179;27.880,66;2009421114329;25.032,01;1958111616711;28.350,65;42346294414;44.183,22;104700581142;25.614,52;1259721896434
2012-06-11;26.405,52;1336384924757;27.888,21;2023658927571;25.032,48;1968310060052;28.362,01;42480576141;44.204,36;105011750058;25.620,10;1265624021803
2012-06-12;26.405,66;1353800335160;27.886,38;2059215304990;25.029,26;1996658489999;28.359,79;42757444713;44.203,22;105611433664;25.621,76;1280397470458
2012-06-13;26.411,07;1363316434126;27.888,14;2076417986806;25.036,25;2016419871434;28.368,56;43038289829;44.210,91;106324071976;25.624,60;1290708141513
2012-06-14;26.413,36;1376953591910;27.891,26;2087190242246;25.030,06;2030120587735;28.359,09;43609677458;44.203,30;106960635801;25.641,66;1298618412608
2012-06-15;26.374,09;1387258527895;27.882,83;2112683826101;25.021,01;2068014860421;28.330,42;44496482069;44.168,16;106793897825;25.621,77;1304034587926
2012-06-16;26.374,09;1387258527895;27.882,83;2112683826101;25.021,01;2068014860421;28.330,42;44496482069;44.168,16;106793897825;25.621,77;1304034587926
2012-06-17;26.374,09;1387258527895;27.882,83;2112683826101;25.021,01;2068014860421;28.330,42;44496482069;44.168,16;106793897825;25.621,77;1304034587926
